"ID","Oneida","Dialect","Oneida Audio","English","Oneida Example","Oneida Example Audio","Example in English","Image","Tags"
"174","Lute: kwi tekahwistáne’ sʌ","Oneida (Canada)","[sound:Oneida-174.mp3]","They say it is also going to be icy.",,,,,"Oneida_(Canada) Weather"
"175","Hʌ wé:ne kih tsi’ tyohkwislu yota’klokwʌ","Oneida (Canada)","[sound:Oneida-175.mp3]","yes, I think it is snowing quite hard.",,,,,"Oneida_(Canada) Weather"
"176","Wé:ne tsi’ yota’klókwʌ","Oneida (Canada)","[sound:Oneida-176.mp3]","I think it’s snowing.",,,,,"Oneida_(Canada) Weather"
"177","Hʌ tsi’ ki’ niyowelahwistu̲","Oneida (Canada)","[sound:Oneida-177.mp3]","Yes, the wind is really cold.",,,,,"Oneida_(Canada) Weather"
"178","Nʌ kʌ tayotholati","Oneida (Canada)","[sound:Oneida-178.mp3]","Is it getting cold?",,,,,"Oneida_(Canada) Weather"
"179","Hʌ wahutolatha’ kih","Oneida (Canada)","[sound:Oneida-179.mp3]","Yes, they are going hunting.",,,,,"Oneida_(Canada) Hunting"
"180","Lutó:lats kʌ nén kʌ’nitotiyʌsah","Oneida (Canada)","[sound:Oneida-180.mp3]","Are the young men hunting?",,,,,"Oneida_(Canada) Hunting"
"181","Yota’klokwʌhatyese̲’","Oneida (Canada)","[sound:Oneida-181.mp3]","Snowing off and on.",,,,,"Oneida_(Canada) Weather"
"182","Yowelahwistu̲","Oneida (Canada)","[sound:Oneida-182.mp3]","cold wind",,,,,"Oneida_(Canada) Weather"
"183","Teyohwiskwat","Oneida (Canada)","[sound:Oneida-183.mp3]","It is slippery.",,,,,"Oneida_(Canada) Weather"
"184","Yohwisuti","Oneida (Canada)","[sound:Oneida-184.mp3]","They are ice pellets.",,,,,"Oneida_(Canada) Weather"
"185","Kanye:yʌ̲","Oneida (Canada)","[sound:Oneida-185.mp3]","There is snow on the ground.",,,,,"Oneida_(Canada) Weather"
"186","Tayohtsi’kláti","Oneida (Canada)","[sound:Oneida-186.mp3]","Clouds are coming.",,,,,"Oneida_(Canada) Weather"
"187","Tayota’klokwʌháti","Oneida (Canada)","[sound:Oneida-187.mp3]","Snow is coming.",,,,,"Oneida_(Canada) Weather"
"188","Tayotholáti","Oneida (Canada)","[sound:Oneida-188.mp3]","Cold (weather) is coming.",,,,,"Oneida_(Canada) Weather"
"189","kutilyoh","Oneida (Canada)","[sound:Oneida-189.mp3]","wild animal",,,,,"Oneida_(Canada) Hunting"
"190","Luto:lats","Oneida (Canada)","[sound:Oneida-190.mp3]","They are hunting.",,,,,"Oneida_(Canada) Hunting"
"191","We:ne ki’ wah","Oneida (Canada)","[sound:Oneida-191.mp3]","I think so",,,,,"Oneida_(Canada) Yes_and_No"
"192","Thokʌ wahse’ tsi’ tehútkwa̲’","Oneida (Canada)","[sound:Oneida-192.mp3]","Are you going to where they are dancing?",,,,,"Oneida_(Canada) Celebrations"
"193","Kwa’nyohkwi: satshá:nit","Oneida (Canada)","[sound:Oneida-193.mp3]","Boy, you are a good worker!",,,,,"Oneida_(Canada) Celebrations"
"194","Wakheya’takenhása’ nén kutikhú:ni̲h̲e̲’","Oneida (Canada)","[sound:Oneida-194.mp3]","I am going to help the cooks.",,,,,"Oneida_(Canada) Celebrations Food"
"195","Wa’katahusatata’ ki’ nén kalihwí:yo̲","Oneida (Canada)","[sound:Oneida-195.mp3]","I am going to listen to the good message.",,,,,"Oneida_(Canada) Celebrations"
"196","Hʌ  ok ni’í:se̲","Oneida (Canada)","[sound:Oneida-196.mp3]","Yes, how about you?",,,,,"Oneida_(Canada) Greetings_&_Goodbyes"
"197","Kanuhsésne kʌ wáhse̲’","Oneida (Canada)","[sound:Oneida-197.mp3]","Are you going to the longhouse?",,,,,"Oneida_(Canada) Celebrations"
"198","tetwatanʌhelá:tu","Oneida (Canada)","[sound:Oneida-198.mp3]","let us give thanks",,,,,"Oneida_(Canada) Celebrations:_Thanksgiving"
"199","kakhwa’shú:h̲a̲","Oneida (Canada)","[sound:Oneida-199.mp3]","different kinds of foods",,,,,"Oneida_(Canada) Celebrations Food"
"200","kutikhu:níhe̲’","Oneida (Canada)","[sound:Oneida-200.mp3]","the cooks",,,,,"Oneida_(Canada) Celebrations Food"
"201","tehútkwa̲’","Oneida (Canada)","[sound:Oneida-201.mp3]","dancers",,,,,"Oneida_(Canada) Celebrations"
"202","kanuhelatúksla’","Oneida (Canada)","[sound:Oneida-202.mp3]","thanksgiving address",,,,,"Oneida_(Canada) Celebrations:_Thanksgiving"
"203","kalihwíy̲o̲","Oneida (Canada)","[sound:Oneida-203.mp3]","good message",,,,,"Oneida_(Canada) Celebrations"
"204","kanushésn̲e̲","Oneida (Canada)","[sound:Oneida-204.mp3]","longhouse",,,,,"Oneida_(Canada) Celebrations"
"205","kʌtyóhkwa̲","Oneida (Canada)","[sound:Oneida-205.mp3]","people",,,,,"Oneida_(Canada) Celebrations"
"206","tehutanʌhelá:tuhe̲’","Oneida (Canada)","[sound:Oneida-206.mp3]","giving thanks",,,,,"Oneida_(Canada) Celebrations:_Thanksgiving"
"207","Yʌhʌshawe’ kʌ onu’usláko yetsistalakhwa̲’","Oneida (Canada)","[sound:Oneida-207.mp3]","Are you going to take a pumpkin lantern?",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"208","Hʌ wé:ne kwi laskan akwʌnya’ ʌkatse̲’","Oneida (Canada)","[sound:Oneida-208.mp3]","Yes I’m going to put on a skeleton costume.",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"209","Ʌsahste’ kʌ yohtlut akwʌnya’","Oneida (Canada)","[sound:Oneida-209.mp3]","Are you going to wear a scary costume?",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"210","Nʌ ki’ ya’kahewe’ nén ahalihwahsahw̲ʌ̲","Oneida (Canada)","[sound:Oneida-210.mp3]","It is now time to tell of the male responsibility.",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"211","Nʌ ki’ kanana’kene nʌ ya’kahewe’ ahutekhwaló:loke̲’","Oneida (Canada)","[sound:Oneida-211.mp3]","It is now fall or the start of the male season and it is time to have a feast.",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"212","yutkuhsolokta̲’","Oneida (Canada)","[sound:Oneida-212.mp3]","mask",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"213","ahsʌ niwashʌ uska","Oneida (Canada)","[sound:Oneida-213.mp3]","thirty first",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"214","tetyó:kalahse̲’","Oneida (Canada)","[sound:Oneida-214.mp3]","dark night",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"215","laskan","Oneida (Canada)","[sound:Oneida-215.mp3]","skeleton or ancestors gone ahead",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"216","onu’uslako:","Oneida (Canada)","[sound:Oneida-216.mp3]","pumpkin",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"217","yohtlut akwʌnya’","Oneida (Canada)","[sound:Oneida-217.mp3]","scary costume",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"218","lathʌtó:lihe̲’","Oneida (Canada)","[sound:Oneida-218.mp3]","scarecrow",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"219","yohsutáhtlut","Oneida (Canada)","[sound:Oneida-219.mp3]","halloween  or hallows eve",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"220","ʌhalihwahsahw̲ʌ̲","Oneida (Canada)","[sound:Oneida-220.mp3]","Tells of male responsibility.",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"221","wahutekhwaló:lok","Oneida (Canada)","[sound:Oneida-221.mp3]","They are having a feast.",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"222","kanana’ken̲e̲","Oneida (Canada)","[sound:Oneida-222.mp3]","starting of the male season or "fall",,,,,"Oneida_(Canada) Celebrations:_Halloween"
"223","Tyutatlihunyʌní:tha’ wahne’","Oneida (Canada)","[sound:Oneida-223.mp3]","They are going to the school.",,,,,"Oneida_(Canada) Locations"
"224","Kátsha’ nu: wá:ne’ tehniksa","Oneida (Canada)","[sound:Oneida-224.mp3]","Where are the two boys going?",,,,,"Oneida_(Canada) Locations"
"225","Tyutekhunyá:tha’ wa’yako","Oneida (Canada)","[sound:Oneida-225.mp3]","We are going to the restaurant.",,,,,"Oneida_(Canada) Locations"
"226","Kátsha’ nu: weso","Oneida (Canada)","[sound:Oneida-226.mp3]","Where are all of you going?",,,,,"Oneida_(Canada) Locations"
"227","Tyutʌhni:núhe’ wa’yako","Oneida (Canada)","[sound:Oneida-227.mp3]","We are going to the store",,,,,"Oneida_(Canada) Locations"
"228","Kátsha’ nu: wesene̲","Oneida (Canada)","[sound:Oneida-228.mp3]","Where are you two going?",,,,,"Oneida_(Canada) Locations"
"229","Ukwehuwé:ne wáhke̲’","Oneida (Canada)","[sound:Oneida-229.mp3]","I am going to the reserve.",,,,,"Oneida_(Canada) Locations"
"230","Kátsha’ nu: wáhse̲’","Oneida (Canada)","[sound:Oneida-230.mp3]","Where are you going?",,,,,"Oneida_(Canada) Locations"
"231","Kanatá:ke ni: teknákehl̲e̲","Oneida (Canada)","[sound:Oneida-231.mp3]","I reside in town",,,,,"Oneida_(Canada) Locations"
"232","Ukwehuwé:ne ni: teknákehl̲e̲","Oneida (Canada)","[sound:Oneida-232.mp3]","I reside on the reserve.",,,,,"Oneida_(Canada) Locations"
"233","ukwehú:w̲e̲","Oneida (Canada)","[sound:Oneida-233.mp3]","original person",,,,,"Oneida_(Canada) Locations"
"234","Kátsha' nu: tesnákehl̲e̲","Oneida (Canada)","[sound:Oneida-234.mp3]","Where do you reside?",,,,,"Oneida_(Canada) Locations"
"235","Hʌ:  kwah nyo kwi: né: lohstelist","Oneida (Canada)","[sound:Oneida-235.mp3]","Yes, and he was funny.",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"236","Wahetshalóloke’ kʌ otsistóhkwa wahó:sele’ nén tékni teyokahkwʌtute̲’","Oneida (Canada)","[sound:Oneida-236.mp3]","Did you watch the clown ride the two wheeler?",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"237","Hʌ: é:so kih","Oneida (Canada)","[sound:Oneida-237.mp3]","Yes, there are a lot.",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"238","E:so kʌ kayá:lotu̲","Oneida (Canada)","[sound:Oneida-238.mp3]","Is there a lot of tents?",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"239","Tah  otsistohkwa ni: wa’kheyatloloke̲’","Oneida (Canada)","[sound:Oneida-239.mp3]","No, I watched the clowns.",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"240","Wahsatloloke’ kʌ nén kohsa:tʌs tekuleluhe’","Oneida (Canada)","[sound:Oneida-240.mp3]","Did you watch the horse races?",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"241","tékni teyokahkwʌ́:tute̲’","Oneida (Canada)","[sound:Oneida-241.mp3]","bicycle or two wheeler",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"242","otsistóhkwa","Oneida (Canada)","[sound:Oneida-242.mp3]","clown",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"243","tehutyelunyuhe̲’","Oneida (Canada)","[sound:Oneida-243.mp3]","performers",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"244","kakhwa’shuha̲","Oneida (Canada)","[sound:Oneida-244.mp3]","foods (many types)",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"245","kayalo:tu̲","Oneida (Canada)","[sound:Oneida-245.mp3]","tents",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"246","latiksa’shuha tehuleluhe’","Oneida (Canada)","[sound:Oneida-246.mp3]","children racing",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"247","kohsá:tʌs tekuleluhe’","Oneida (Canada)","[sound:Oneida-247.mp3]","race horses",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"248","Tah só:tsi’ yohsno:le tsi’ tewahkwatá:ses̲","Oneida (Canada)","[sound:Oneida-248.mp3]","No it goes around too fast.",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"249","Ihselhe’ kʌ a:satítan yakotsihalatenyatha̲’","Oneida (Canada)","[sound:Oneida-249.mp3]","Are you going on the twirl ride?",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"250","Hʌ́: swahyó:wane’ wá:yat i:kelhe’ takatna’talakʌ́:ni̲","Oneida (Canada)","[sound:Oneida-250.mp3]","Yes, I have an apple pie for the contest.",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"251","Sá:yʌ kʌ wá:yat tasatna’talakʌ́n̲i̲","Oneida (Canada)","[sound:Oneida-251.mp3]","Do you have a pie for the pie contest?",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"252","Hʌ: i:kelhe’ takatkʌnyéhsa’ atsyók","Oneida (Canada)","[sound:Oneida-252.mp3]","Yes, I want to go to the fair later.",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"253","Wa’tehshatkʌnyéhsa’ kʌ nu’uwa̲’","Oneida (Canada)","[sound:Oneida-253.mp3]","Are you going to the fair this time?",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"254","tehutkʌnyéhse̲’","Oneida (Canada)","[sound:Oneida-254.mp3]","fair",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"255","tasatkʌ́:ni̲","Oneida (Canada)","[sound:Oneida-255.mp3]","to enter a contest",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"256","lutita’asta̲","Oneida (Canada)","[sound:Oneida-256.mp3]","rides",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"257","yakotsihalatenyátha̲","Oneida (Canada)","[sound:Oneida-257.mp3]","the twirl ride",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"258","swahyó:wan̲e̲’","Oneida (Canada)","[sound:Oneida-258.mp3]","apple",,,,,"Oneida_(Canada) Food"
"259","kohsá:tʌs","Oneida (Canada)","[sound:Oneida-259.mp3]","horse",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"260","lutekhwaní:nuhe̲’","Oneida (Canada)","[sound:Oneida-260.mp3]","food vendors",,,,,"Oneida_(Canada) Food"
"261","lotinʌlahsluniháti","Oneida (Canada)","[sound:Oneida-261.mp3]","parade",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"262","Kwah ki’nok kayé: ní:ku̲","Oneida (Canada)","[sound:Oneida-262.mp3]","Just four of them",,,,,"Oneida_(Canada) Celebrations:_The_Fair"
"263","To: niku onu’usehle’ tʌkʌ:sel̲e̲’","Oneida (Canada)","[sound:Oneida-263.mp3]","How many pickles do you want me to peel?",,,,,"Oneida_(Canada) Food"
"264","Ne: kwí tʌ sla’wistakʌsehle’ onu’usehl̲e̲’","Oneida (Canada)","[sound:Oneida-264.mp3]","You should peel the cucumbers.",,,,,"Oneida_(Canada) Food"
"265","Tʌsatnu’uslahyo:tsiste’ kʌ","Oneida (Canada)","[sound:Oneida-265.mp3]","Are you going to make salted pickles?",,,,,"Oneida_(Canada) Food"
"266","Hʌ: ikelhe’ ki’ akatayalit yotshe’tʌ́:tu:h̲e̲’","Oneida (Canada)","[sound:Oneida-266.mp3]","Yes I want to can some pears.",,,,,"Oneida_(Canada) Food"
"267","ʌsatayalite’ kʌ nu’uwa̲’","Oneida (Canada)","[sound:Oneida-267.mp3]","Are you going to can fruit this time?",,,,,"Oneida_(Canada) Food"
"268","satá:yaliht","Oneida (Canada)","[sound:Oneida-268.mp3]","can fruit",,,,,"Oneida_(Canada) Food"
"269","tehsatnu’uhslahyo:tsiste̲’","Oneida (Canada)","[sound:Oneida-269.mp3]","make dill pickles",,,,,"Oneida_(Canada) Food"
"270","satahyátat","Oneida (Canada)","[sound:Oneida-270.mp3]","dry the fruit",,,,,"Oneida_(Canada) Food"
"271","swisto:kwanust káhik","Oneida (Canada)","[sound:Oneida-271.mp3]","freeze the fruit",,,,,"Oneida_(Canada) Food"
"272","tehsnu’slá:lit","Oneida (Canada)","[sound:Oneida-272.mp3]","cut up the cucumbers",,,,,"Oneida_(Canada) Food"
"273","sahyohale̲’","Oneida (Canada)","[sound:Oneida-273.mp3]","wash the fruit",,,,,"Oneida_(Canada) Food"
"274","ʌslihatet kahik","Oneida (Canada)","[sound:Oneida-274.mp3]","boil the fruit",,,,,"Oneida_(Canada) Food"
"275","tehsahyakʌ:sel̲","Oneida (Canada)","[sound:Oneida-275.mp3]","peel the fruit",,,,,"Oneida_(Canada) Food"
"276","katshetaku setan","Oneida (Canada)","[sound:Oneida-276.mp3]","put in the jar",,,,,"Oneida_(Canada) Food"
"277","snú:tek","Oneida (Canada)","[sound:Oneida-277.mp3]","put the lid on",,,,,"Oneida_(Canada) Food"
"278","yutekhwayʌ:he’ nikaha:w̲í̲:","Oneida (Canada)","[sound:Oneida-278.mp3]","storing food time",,,,,"Oneida_(Canada) Food"
"279","Hʌ: tahnuwi: wa’ketsyá:kʌ̲","Oneida (Canada)","[sound:Oneida-279.mp3]","Yes, and I worked very hard.",,,,,"Oneida_(Canada) School:_Graduation"
"280","Hʌ: okni’ i:se̲’","Oneida (Canada)","[sound:Oneida-280.mp3]","Yes, did you?",,,,,"Oneida_(Canada) School:_Graduation"
"281","Wa’tehsatu:kóhte’ kʌ","Oneida (Canada)","[sound:Oneida-281.mp3]","Did you graduate?",,,,,"Oneida_(Canada) School:_Graduation"
"282","Tah ahsuki te’wakatya’tawihtsláyʌ tatnú:wa’ ʌyolhʌne’ kanatá:ke wa’yakne’ aknúlha","Oneida (Canada)","[sound:Oneida-282.mp3]","No I don't have a dress yet maybe tomorrow my mother and I are going uptown.",,,,,"Oneida_(Canada) Clothes"
"283","Nʌ kʌ sá:yʌ: atyá:tawiht tsi’ káyʌ satstá:n̲e̲’","Oneida (Canada)","[sound:Oneida-283.mp3]","Do you have a dress yet that you are going to wear?",,,,,"Oneida_(Canada) Clothes"
"284","Né: tho:ne’ kwi: tehutkwáne’ tsi’ tyutatlihunyʌnitha̲’","Oneida (Canada)","[sound:Oneida-284.mp3]","They will have a dance at the school.",,,,,"Oneida_(Canada) School"
"285","Ne: ka’i:kʌ nikaha:wi nale’ wa’kwatolishʌ yakwatayatha̲’","Oneida (Canada)","[sound:Oneida-285.mp3]","This is the time of the year that the students take a holiday from school.",,,,,"Oneida_(Canada) School"
"286","ka’slehtés","Oneida (Canada)","[sound:Oneida-286.mp3]","limousine",,,,,"Oneida_(Canada) School:_Graduation"
"287","Wa’ketsyá:kʌ̲","Oneida (Canada)","[sound:Oneida-287.mp3]","I worked very hard",,,,,"Oneida_(Canada) School:_Graduation"
"288","Atyá:tawiht","Oneida (Canada)","[sound:Oneida-288.mp3]","a dress",,,,,"Oneida_(Canada) Clothes"
"289","Wa’tesatkwá:na’ kʌ","Oneida (Canada)","[sound:Oneida-289.mp3]","are you going to the dance?",,,,,"Oneida_(Canada) School:_Graduation"
"290","Tehutkwan̲e̲’","Oneida (Canada)","[sound:Oneida-290.mp3]","they are having a dance",,,,,"Oneida_(Canada) School:_Graduation"
"291","Wa’tyutú:kote̲’","Oneida (Canada)","[sound:Oneida-291.mp3]","she graduated",,,,,"Oneida_(Canada) School:_Graduation"
"292","Wa’thatú:kote̲’","Oneida (Canada)","[sound:Oneida-292.mp3]","he graduated",,,,,"Oneida_(Canada) School:_Graduation"
"293","Wa’tesatú:kote̲’","Oneida (Canada)","[sound:Oneida-293.mp3]","you graduated (passed a grade)",,,,,"Oneida_(Canada) School:_Graduation"
"294","Lutawyáth̲a̲","Oneida (Canada)","[sound:Oneida-294.mp3]","the students",,,,,"Oneida_(Canada) School"
"295","Wahutolíshʌ̲’","Oneida (Canada)","[sound:Oneida-295.mp3]","they rest",,,,,"Oneida_(Canada) In_The_Morning"
"296","Nʌ kʌ thoha nʌ: ʌwahyʌtane̲’","Oneida (Canada)","[sound:Oneida-296.mp3]","Are the berries almost done?",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"297","Wé:ne ʌwá:tu é:so ʌkayako̲","Oneida (Canada)","[sound:Oneida-297.mp3]","I guess I can pick a lot of berries.",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"298","Khále’ niwahyowanʌse̲’","Oneida (Canada)","[sound:Oneida-298.mp3]","And the berries are real big.",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"299","Tahnu wé:ni tsi’ niyotahyú:ni̲","Oneida (Canada)","[sound:Oneida-299.mp3]","It looks like there are a lot of berries.",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"300","Ni:yót ni:yohahe:súse̲’","Oneida (Canada)","[sound:Oneida-300.mp3]","Look at the long rows",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"301","Hʌ: tahnu: tsi’ nikahʌtowá:n","Oneida (Canada)","[sound:Oneida-301.mp3]","Yes, and it is a big field",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"302","Wahsatkatho’ kʌ i:si’ nukwa tkahʌtayʌ nén awʌhihte̲’","Oneida (Canada)","[sound:Oneida-302.mp3]","Do you see the strawberry field over there?",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"303","ʌswisto:kwanuste̲’","Oneida (Canada)","[sound:Oneida-303.mp3]","freeze them",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"304","kʌ’ niwahya:sa’","Oneida (Canada)","[sound:Oneida-304.mp3]","small berries",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"305","uyʌ:tane̲’","Oneida (Canada)","[sound:Oneida-305.mp3]","berries are done",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"306","teyohyahyotsis","Oneida (Canada)","[sound:Oneida-306.mp3]","sour fruit",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"307","ʌsata:yálite̲","Oneida (Canada)","[sound:Oneida-307.mp3]","can fruit",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"308","wa’katnan̲e̲’","Oneida (Canada)","[sound:Oneida-308.mp3]","I filled (a basket)",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"309","ashé:nute̲","Oneida (Canada)","[sound:Oneida-309.mp3]","basket",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"310","yohahe:súse̲̲’","Oneida (Canada)","[sound:Oneida-310.mp3]","long rows",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"311","Kahʌtowá:n","Oneida (Canada)","[sound:Oneida-311.mp3]","big field",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"312","kahʌ:táyʌ̲","Oneida (Canada)","[sound:Oneida-312.mp3]","field",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"313","Wé:ne tsi’ nʌ kukwité:ne tsi’ nʌ é:so yontlatute’ nén kalutó:tu̲","Oneida (Canada)","[sound:Oneida-313.mp3]","it must be springtime because there are a lot of leaves on the trees.",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"314","O’nu:wa: kʌ ʌsátste’ nén ʌsata’slú:ni̲","Oneida (Canada)","[sound:Oneida-314.mp3]","are you going to use the strips of black ash when you make a basket?",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"315","Takʌ ʌtesahítyak tho ká:yʌ nén o:nhahte̲’","Oneida (Canada)","[sound:Oneida-315.mp3]","don’t trip on the branch laying there.",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"316","Wé:ne tsi’ latunyá:ne’ nén wáhta óshes","Oneida (Canada)","[sound:Oneida-316.mp3]","I guess he’s going to make maple syrup",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"317","Laksótha wahahkalotʌ nén wáhta kalútote̲’","Oneida (Canada)","[sound:Oneida-317.mp3]","my grandfather tapped the maple tree.",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"318","Né: kʌ nén kwah ok thikuné:se’ ótsitsi","Oneida (Canada)","[sound:Oneida-318.mp3]","is it the wild flowers?",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"319","Hao’ tsi’ kalhayʌ’ yeheten tnitsi’tsyakóna̲","Oneida (Canada)","[sound:Oneida-319.mp3]","let’s go to the forest to gather flowers.",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"320","óshes","Oneida (Canada)","[sound:Oneida-320.mp3]","sap or syrup",,,,,"Oneida_(Canada) Plants:_Trees"
"321","kalutó:tu̲:","Oneida (Canada)","[sound:Oneida-321.mp3]","group of trees",,,,,"Oneida_(Canada) Plants:_Trees"
"322","kelhíhte̲’","Oneida (Canada)","[sound:Oneida-322.mp3]","forest trees",,,,,"Oneida_(Canada) Plants:_Trees"
"323","o’nú:w̲a̲:","Oneida (Canada)","[sound:Oneida-323.mp3]","strips of black ash",,,,,"Oneida_(Canada) Plants"
"324","ká:nʌhe̲’","Oneida (Canada)","[sound:Oneida-324.mp3]","seed",,,,,"Oneida_(Canada) Plants"
"325","kaská:wayʌ̲’","Oneida (Canada)","[sound:Oneida-325.mp3]","bushes",,,,,"Oneida_(Canada) Plants"
"326","onláhte̲’","Oneida (Canada)","[sound:Oneida-326.mp3]","leaf",,,,,"Oneida_(Canada) Plants"
"327","kalhayʌ’","Oneida (Canada)","[sound:Oneida-327.mp3]","forest",,,,,"Oneida_(Canada) Plants"
"328","o:nháhte̲’","Oneida (Canada)","[sound:Oneida-328.mp3]","unattached branch",,,,,"Oneida_(Canada) Plants"
"329","yo'nháhtot̲e̲’","Oneida (Canada)","[sound:Oneida-329.mp3]","attached branch",,,,,"Oneida_(Canada) Plants"
"330","Takʌ só:tsi’ akta nyʌhʌse’ tsi’ tkalutóte’ nén aslók","Oneida (Canada)","[sound:Oneida-330.mp3]","don’t go near the thorn tree.",,,,,"Oneida_(Canada) Plants"
"331","Hʌ  né: ki’ kanutunyúhe̲’","Oneida (Canada)","[sound:Oneida-331.mp3]","yes, I’m thinking about it.",,,,,"Oneida_(Canada) Yes_and_No"
"332","Ok nén wihsu ʌsatayalíte’ kʌ nʌ né:","Oneida (Canada)","[sound:Oneida-332.mp3]","what about the plums, are you going to can them?",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"333","Hao’ ki’wah tho’nʌ ʌtyatayálite̲’","Oneida (Canada)","[sound:Oneida-333.mp3]","ok then we will can it.",,,,,"Oneida_(Canada) Food:_Picking_Berries"
"334","Hao’ kwi tyahyaka tsi’ tkalutote’ nén e:lí̲","Oneida (Canada)","[sound:Oneida-334.mp3]","come, lets get the fruit from the cherry tree.",,,,,"Oneida_(Canada) Plants"
"335","Tah yah kwi te’wakanúhte̲","Oneida (Canada)","[sound:Oneida-335.mp3]","no, I didn’t know",,,,,"Oneida_(Canada) Plants"
"336","Sanúhte’ kʌ tsi’ lutitslunyatha’ nén tekanʌ’takwʌhtʌ̲","Oneida (Canada)","[sound:Oneida-336.mp3]","do you know that they make tea from cedar?",,,,,"Oneida_(Canada) Plants"
"337","tsiláhsal","Oneida (Canada)","[sound:Oneida-337.mp3]","ironwood",,,,,"Oneida_(Canada) Plants:_Trees"
"338","yonahsa’kʌ́slal̲e̲’","Oneida (Canada)","[sound:Oneida-338.mp3]","spruce",,,,,"Oneida_(Canada) Plants:_Trees"
"339","o’ne:yál","Oneida (Canada)","[sound:Oneida-339.mp3]","beech",,,,,"Oneida_(Canada) Plants:_Trees"
"340","ohnakʌhsa̲’","Oneida (Canada)","[sound:Oneida-340.mp3]","white birch",,,,,"Oneida_(Canada) Plants:_Trees"
"341","aslók","Oneida (Canada)","[sound:Oneida-341.mp3]","thorn",,,,,"Oneida_(Canada) Plants"
"342","wíhsu̲’","Oneida (Canada)","[sound:Oneida-342.mp3]","plum",,,,,"Oneida_(Canada) Food"
"343","kanʌ’tú:sa’","Oneida (Canada)","[sound:Oneida-343.mp3]","hemlock pine",,,,,"Oneida_(Canada) Plants:_Trees"
